Quarter,Material,Value
Apr-21,Automotive Batteries,4.70
Jan-22,Automotive Batteries,4
Apr-21,Card,126.85
Jul-21,Card,120.44
Jul-21,Card,120.44
Oct-21,Card,113.84
Jan-22,Card,116.24
Apr-21,Co-mingled materials,19.96
Apr-21,Co-mingled materials,20.52
Apr-21,Co-mingled materials,3231.72
Jul-21,Co-mingled materials,18.68
Jul-21,Co-mingled materials,19.85
Jul-21,Co-mingled materials,3022.75
Jul-21,Co-mingled materials,19.85
Jul-21,Co-mingled materials,18.68
Oct-21,Co-mingled materials,19.36
Oct-21,Co-mingled materials,19.98
Oct-21,Co-mingled materials,2972.82
Jan-22,Co-mingled materials,21.13
Jan-22,Co-mingled materials,20.26
Jan-22,Co-mingled materials,3300.89
Apr-21,Footwear only,1.33
Jul-21,Footwear only,1.47
Jul-21,Footwear only,1.47
Oct-21,Footwear only,0.87
Jan-22,Footwear only,0.83
Apr-21,Green garden waste only,246.00
Apr-21,Green garden waste only,86.60
Apr-21,Green garden waste only,3822.82
Jul-21,Green garden waste only,221.32
Jul-21,Green garden waste only,97.9
Jul-21,Green garden waste only,3888.64
Jul-21,Green garden waste only,221.32
Jul-21,Green garden waste only,97.9
Oct-21,Green garden waste only,108.72
Oct-21,Green garden waste only,156.58
Oct-21,Green garden waste only,1316.12
Jan-22,Green garden waste only,141.82
Jan-22,Green garden waste only,115.3
Jan-22,Green garden waste only,761.54
Oct-21,HDPE [2],8.42
Apr-21,Mineral Oil,1.26
Jul-21,Mineral Oil,2.74
Jul-21,Mineral Oil,2.74
Oct-21,Mineral Oil,1.26
Jan-22,Mineral Oil,1.26
Apr-21,Mixed cans,0.48
Jan-22,Mixed cans,0.65
Apr-21,Mixed glass,11.43
Apr-21,Mixed glass,14.55
Apr-21,Mixed glass,1380.35
Jul-21,Mixed glass,10.7
Jul-21,Mixed glass,3.64
Jul-21,Mixed glass,1293.33
Jul-21,Mixed glass,10.7
Jul-21,Mixed glass,3.64
Oct-21,Mixed glass,11.09
Oct-21,Mixed glass,1267.58
Jan-22,Mixed glass,12.1
Jan-22,Mixed glass,15.52
Jan-22,Mixed glass,1407.28
Apr-21,Mixed tyres,14.10
Jul-21,Mixed tyres,5.72
Jul-21,Mixed tyres,5.72
Oct-21,Mixed tyres,4.28
Jan-22,Mixed tyres,6.35
Jul-21,Other Materials,0.8
Jul-21,Other Materials,0.8
Apr-21,OTHER PLASTICS [7],9.68
Apr-21,Other Scrap Metal,102.88
Jul-21,Other Scrap Metal,91.8
Jul-21,Other Scrap Metal,91.8
Oct-21,Other Scrap Metal,71.8
Jan-22,Other Scrap Metal,80.28
Apr-21,Paper,4.52
Jul-21,Paper,1.88
Jul-21,Paper,1.88
Oct-21,Paper,0.96
Jan-22,Paper,2
Apr-21,Plasterboard,0.66
Jan-22,Plasterboard,0.82
Jan-22,Plastics,3.4
Apr-21,Rubble,335.72
Jul-21,Rubble,242.28
Jul-21,Rubble,242.28
Oct-21,Rubble,139.46
Jan-22,Rubble,178.24
Jul-21,Textiles & footwear,52.63
Jul-21,Textiles & footwear,52.63
Oct-21,Textiles & footwear,47.55
Jan-22,Textiles & footwear,53.61
Apr-21,Textiles only,20.65
Jul-21,Textiles only,15
Jul-21,Textiles only,29.93
Jul-21,Textiles only,29.93
Jul-21,Textiles only,15
Oct-21,Textiles only,15.62
Oct-21,Textiles only,49.45
Jan-22,Textiles only,26.96
Apr-21,WEEE -  Cathode Ray Tubes,22.54
Apr-21,WEEE -  Cathode Ray Tubes,0.18
Jul-21,WEEE -  Cathode Ray Tubes,24.1
Jul-21,WEEE -  Cathode Ray Tubes,24.1
Jul-21,WEEE -  Cathode Ray Tubes,1.86
Oct-21,WEEE -  Cathode Ray Tubes,22.98
Oct-21,WEEE -  Cathode Ray Tubes,1.12
Jan-22,WEEE -  Cathode Ray Tubes,24.48
Jan-22,WEEE -  Cathode Ray Tubes,0.16
Apr-21,WEEE - Flourescent tubes and other light bulbs,0.36
Apr-21,WEEE - Flourescent tubes and other light bulbs,0.36
Jul-21,WEEE - Flourescent tubes and other light bulbs,0.4
Jul-21,WEEE - Flourescent tubes and other light bulbs,0.4
Jul-21,WEEE - Flourescent tubes and other light bulbs,0.22
Oct-21,WEEE - Flourescent tubes and other light bulbs,0.3
Oct-21,WEEE - Flourescent tubes and other light bulbs,0.28
Jan-22,WEEE - Flourescent tubes and other light bulbs,0.34
Jan-22,WEEE - Flourescent tubes and other light bulbs,0.28
Apr-21,WEEE - Fridges and Freezers,65.52
Jul-21,WEEE - Fridges and Freezers,68.2
Oct-21,WEEE - Fridges and Freezers,1.52
Oct-21,WEEE - Fridges and Freezers,57.86
Jan-22,WEEE - Fridges and Freezers,18.87
Jan-22,WEEE - Fridges and Freezers,35.39
Apr-21,WEEE - Large Domestic Appliances,4.80
Apr-21,WEEE - Large Domestic Appliances,77.18
Jul-21,WEEE - Large Domestic Appliances,4.44
Jul-21,WEEE - Large Domestic Appliances,62.34
Jul-21,WEEE - Large Domestic Appliances,4.44
Oct-21,WEEE - Large Domestic Appliances,69.32
Jan-22,WEEE - Large Domestic Appliances,78.12
Apr-21,WEEE - Small Domestic Appliances,72.84
Jul-21,WEEE - Small Domestic Appliances,62.1
Jul-21,WEEE - Small Domestic Appliances,62.1
Jul-21,WEEE - Small Domestic Appliances,2.58
Oct-21,WEEE - Small Domestic Appliances,52.1
Jan-22,WEEE - Small Domestic Appliances,66.68
Apr-21,Wood for composting,787.06
Jul-21,Wood for composting,739.68
Jul-21,Wood for composting,739.68
Jan-22,Wood for composting,637.7
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
